Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Weather_Condition,Weather_Condition
50.0,96.0,29.7,3.0,59,59
51.0,56.0,29.56,10.0,9,9
96.8,44.0,29.98,10.0,51,51
46.9,29.0,30.41,10.0,64,64
47.0,33.0,29.14,10.0,9,9
29.0,82.0,29.8,3.0,44,44
73.0,84.0,29.98,7.0,54,54
63.0,75.0,29.77,10.0,9,9
52.0,74.0,29.05,10.0,56,56
24.0,81.0,29.65,10.0,9,9
65.0,97.0,28.54,7.0,5,5
55.0,86.0,29.09,10.0,51,51
59.0,42.0,30.03,8.0,9,9
72.0,66.0,29.89,10.0,9,9
88.0,63.0,29.98,10.0,56,56
57.0,94.0,29.4,10.0,56,56
37.4,81.0,29.92,10.0,64,64
55.0,89.0,30.1,4.0,37,37
44.0,93.0,29.82,10.0,37,37
71.0,92.0,29.76,0.75,20,20
74.0,91.0,29.94,10.0,9,9
74.0,87.0,29.92,10.0,5,5
87.0,61.0,29.91,10.0,51,51
55.0,51.0,29.99,10.0,5,5
52.0,57.0,30.05,10.0,5,5
57.0,74.0,29.59,10.0,56,56
43.0,51.0,29.95,10.0,9,9
72.0,84.0,29.07,10.0,51,51
75.0,94.0,29.9,10.0,56,56
60.0,93.0,29.06,8.0,5,5
74.0,45.0,29.38,10.0,5,5
84.0,74.0,29.97,10.0,51,51
66.0,60.0,29.01,10.0,9,9
68.0,78.0,30.07,10.0,4,4
70.0,23.0,29.99,10.0,5,5
67.0,23.0,28.72,10.0,9,9
67.8,91.0,30.18,10.0,4,4
84.9,57.0,29.97,10.0,51,51
42.0,45.0,30.09,10.0,9,9
64.0,67.0,29.86,10.0,84,84
55.4,75.0,29.92,10.0,4,4
87.1,59.0,30.02,10.0,51,51
55.9,67.0,30.28,10.0,54,54
55.9,67.0,30.36,10.0,51,51
55.0,89.0,29.56,3.0,5,5
44.1,76.0,30.08,10.0,54,54
64.0,88.0,29.25,10.0,51,51
68.0,100.0,29.04,7.0,51,51
86.0,20.0,29.88,10.0,9,9
71.1,66.0,30.1,10.0,56,56
65.0,87.0,28.99,10.0,5,5
78.0,45.0,29.19,10.0,9,9
79.0,56.0,29.84,10.0,51,51
77.0,84.0,30.02,10.0,51,51
46.9,77.0,30.04,10.0,37,37
60.1,24.0,30.05,10.0,51,51
33.0,52.0,29.72,10.0,9,9
34.0,85.0,29.61,10.0,5,5
71.0,73.0,29.48,10.0,5,5
30.0,89.0,29.83,10.0,9,9
63.0,94.0,29.82,5.0,5,5
86.0,63.0,29.13,10.0,57,57
21.0,71.0,29.88,10.0,54,54
